;Участники
503;5
504;2
505;4
506;2
507;7
508;7
509;5
510;3
511;1
512;1
513;2
514;4
515;2
516;3
517;1
518;5
519;3
520;1
521;1
522;3
523;4
524;5
525;5
526;1
527;2
528;3
529;5
530;7
531;4
532;6
533;4
534;5
535;2
536;3
537;4
538;5
539;2
540;4
541;4
542;4
543;1
544;2
545;3
546;3
547;3
548;3
549;2
550;2
551;3
552;2
553;3
554;3
555;1
556;1
557;2
558;1
559;4
560;6
561;4
562;3
563;3
564;4
565;5
566;3
567;6
568;4
569;1
570;4
571;3
572;3
573;2
574;6
575;1
576;4
577;3
578;0
579;4
580;2
581;8
582;1
583;3
584;2
585;7
586;4
587;4
588;0
589;3
590;5
591;4
592;5
593;1
594;3
595;3
596;2
597;2
598;3
599;3
600;6
601;1
602;3
603;7
604;1
605;6
606;6
607;3
608;3
609;1
610;2
611;3
612;2
613;3
614;1
615;4
616;5
617;2
618;4
619;4
620;2
621;6
622;6
623;2
624;6
625;1
626;3
627;0
628;5
629;5
630;3
631;4
632;2
633;2
634;4
635;6
636;2
637;5
638;2
639;2
640;4
641;5
642;2
643;3
644;2
645;1
646;9
647;5
648;2
649;3
650;5
651;2
652;4
653;7
654;3
655;8
656;5
657;0
658;4
659;5
660;6
661;5
662;3
663;2
664;1
665;3
666;3
667;2
668;3
669;2
670;4
671;1
672;2
673;3
674;2
675;4
676;1
677;3
678;0
679;2
680;3
681;7
682;6
683;7
684;4
685;1
686;1
687;3
688;6
689;4
690;1
691;3
692;4
693;2
694;6
695;3
696;2
697;1
698;6
699;4
700;6
701;6
702;2
703;1
704;3
705;4
706;5
707;6
708;2
709;3
710;2
711;1
712;1
713;3
714;5
715;2
716;1
717;6
718;3
719;4
720;7
721;7
722;3
723;1
724;4
725;3
726;3
727;3
728;2
729;4
730;6
731;4
732;3
733;3
734;2
735;3
736;4
737;3
738;5
739;2
740;3
741;6
742;1
743;7
744;1
745;3
746;4
747;2
748;5
749;2
750;3
751;2
752;4
753;3
754;6
755;4
756;3
757;4
758;1
759;6
760;2
761;4
762;3
763;2
764;2
765;5
766;5
767;2
768;2
769;7
770;6
771;3
772;3
773;4
774;1
775;2
776;4
777;4
778;4
779;2
780;5
781;3
782;0
783;5
784;1
785;4
786;6
787;1
788;3
789;2
790;5
791;1
792;1
793;5
794;2
795;5
796;4
797;5
798;4
799;1
800;3
801;5
802;2
803;4
804;3
805;1
806;3
807;6
808;2
809;4
810;3
811;1
812;1
813;2
814;3
815;0
816;4
817;2
818;2
819;3
820;3
821;8
822;6
823;4
824;3
825;5
826;4
827;2
828;2
829;5
830;5
831;5
832;2
833;6
834;5
835;3
836;4
837;6
838;1
839;1
840;2
841;5
842;4
843;3
844;5
845;1
846;1
847;5
848;1
849;1
850;2
851;4
852;4
853;2
854;4
855;3
856;4
857;4
858;3
859;3
860;2
861;2
862;6
863;6
864;6
865;3
866;2
867;8
868;2
869;2
870;5
871;6
872;1
873;2
874;4
875;1
876;2
877;2
878;5
879;0
880;6
881;3
882;3
883;6
884;2
885;2
886;1
887;2
888;6
889;3
890;3
891;0
892;2
893;1
894;4
895;1
896;2
897;6
898;5
899;4
900;4
901;3
902;6
903;1
904;1
905;3
906;3
907;2
908;3
909;4
910;2
911;1
912;5
913;2
914;4
915;3
916;4
917;2
918;2
919;3
920;2
921;2
922;2
923;1
924;1
925;4
926;4
927;3
928;2
929;6
930;5
931;1
932;1
933;4
934;3
935;7
936;6
937;3
938;4
939;1
940;2
941;6
942;0
943;4
944;6
945;2
946;4
947;3
948;2
949;3
950;2
951;2
952;3
953;1
954;2
955;3
956;4
957;3
958;4
959;2
960;4
961;4
962;1
963;0
964;3
965;2
966;3
967;5
968;1
969;4
970;6
971;4
972;3
973;1
974;5
975;3
976;5
977;4
978;2
979;2
980;1
981;1
982;5
983;1
984;3
985;2
986;3
987;1
988;4
989;2
990;2
991;4
992;5
993;3
994;1
995;2
996;4
997;3
998;5
999;3
1000;1
1001;5
1002;3
1003;2
1004;2
1005;7
1006;1
1007;3
1008;0
1009;5
1010;5
1011;5
1012;2
1013;2
1014;3
1015;2
1016;4
1017;3
1018;5
1019;6
1020;2
1021;1
1022;2
1023;4
1024;3
1025;6
1026;3
1027;4
1028;2
1029;3
1030;0
1031;9
1032;3
1033;2
1034;4
1035;5
1036;2
1037;1
1038;2
1039;2
1040;3
1041;2
1042;3
1043;2
1044;2
1045;4
1046;4
1047;3
1048;2
1049;6
1050;1
1051;3
1052;2
1053;5
1054;2
1055;5
1056;3
1057;5
1058;1
1059;2
1060;3
1061;1
1062;1
1063;3
1064;2
1065;4
1066;3
1067;2
1068;1
1069;3
1070;3
1071;3
1072;3
1073;2
1074;4
1075;4
1076;4
1077;4
1078;3
1079;5
1080;6
1081;1
1082;3
1083;3
1084;5
1085;4
1086;3
1087;2
1088;4
1089;1
1090;4
1091;3
1092;1
1093;6
1094;7
1095;3
1096;3
1097;3
1098;4
1099;1
1100;8
1101;2
1102;0
1103;2
1104;3
1105;4
1106;3
1107;2
1108;3
1109;6
1110;5
1111;4
1112;2
1113;3
1114;4
1115;3
1116;3
1117;6
1118;2
1119;5
1120;4
1121;1
1122;1
1123;2
1124;4
1125;3
1126;5
1127;6
1128;4
1129;3
1130;3
1131;7
1132;1
1133;3
1134;3
1135;5
1136;1
1137;1
1138;0
1139;9
1140;3
1141;4
1142;2
1143;5
1144;3
1145;3
1146;4
1147;1
1148;1
1149;3
1150;2
1151;5
1152;1
1153;2
1154;2
1155;4
1156;2
1157;0
1158;5
1159;2
1160;3
1161;6
1162;1
1163;3
1164;3
1165;2
1166;4
1167;3
1168;1
1169;3
1170;5
1171;3
1172;3
1173;3
1174;3
1175;2
1176;3
1177;0
1178;2
1179;2
1180;4
1181;1
1182;3
1183;3
1184;5
1185;7
1186;6
1187;1
1188;6
1189;6
1190;1
1191;2
1192;2
1193;4
1194;3
1195;1
1196;6
1197;2
1198;1
1199;2
1200;3
1201;3
1202;5
1203;5
1204;5
1205;5
1206;2
1207;5
1208;11
1209;5
1210;4
1211;2
1212;2
1213;2
1214;6
1215;2
1216;1
1217;1
1218;2
1219;1
1220;2
1221;7
1222;3
1223;3
1224;2
1225;7
1226;2
1227;4
1228;2
1229;3
1230;2
1231;1
1232;1
1233;3
1234;9
1235;2
1236;5
1237;6
1238;3
1239;3
1240;5
1241;3
1242;3
1243;1
1244;4
1245;4
1246;5
1247;3
1248;3
1249;7
1250;1
1251;5
1252;5
1253;5
1254;4
1255;1
1256;1
1257;2
1258;2
1259;3
1260;1
1261;3
1262;0
1263;3
1264;0
1265;4
1266;5
1267;2
1268;5
1269;4
1270;3
1271;2
1272;4
1273;6
1274;2
1275;3
1276;3
1277;6
1278;8
1279;2
1280;3
1281;6
1282;3
1283;3
1284;2
1285;1
1286;4
1287;4
1288;2
1289;2
1290;3
1291;3
1292;2
1293;6
1294;3
1295;0
1296;5
1297;5
1298;3
1299;5
1300;3
1301;4
1302;4
1303;2
1304;2
1305;3
1306;1
1307;1
1308;5
1309;3
1310;3
1311;4
1312;5
1313;1
1314;2
1315;3
1316;8
1317;3
1318;3
1319;6
1320;4
1321;1
1322;1
1323;4
1324;2
1325;2
1326;3
1327;5
1328;3
1329;4
1330;3
1331;2
1332;6
1333;2
1334;2
1335;4
1336;5
1337;2
1338;0
1339;0
1340;2
1341;1
1342;4
1343;3
1344;4
1345;2
1346;3
1347;4
1348;3
1349;6
1350;3
1351;2
1352;5
1353;2
1354;3
1355;4
1356;5
1357;4
1358;1
1359;3
1360;4
1361;3
1362;3
1363;6
1364;6
1365;3
1366;8
1367;3
1368;3
1369;6
1370;2
1371;4
1372;5
1373;2
1374;5
1375;6
1376;4
1377;3
1378;2
1379;3
1380;2
1381;6
1382;2
1383;3
1384;4
1385;3
1386;2
1387;2
1388;5
1389;3
1390;3
1391;1
1392;8
1393;3
1394;2
1395;4
1396;2
1397;1
1398;1
1399;4
1400;6
1401;0
1402;2
1403;2
1404;1
1405;5
1406;9
1407;3
1408;0
1409;7
1410;1
1411;3
1412;3
1413;3
1414;4
1415;3
1416;4
1417;3
1418;3
1419;4
1420;4
1421;5
1422;2
1423;4
1424;4
1425;4
1426;4
1427;2
1428;5
1429;4
1430;6
1431;3
1432;4
1433;1
1434;5
1435;5
1436;4
1437;1
1438;5
1439;4
1440;11
1441;5
1442;3
1443;5
1444;3
1445;5
1446;5
1447;4
1448;5
1449;4
1450;3
1451;4
1452;7
1453;3
1454;4
1455;2
1456;4
1457;4
1458;4
1459;1
1460;2
1461;4
1462;3
1463;2
1464;4
1465;1
1466;5
1467;5
1468;0
1469;2
1470;1
1471;7
1472;2
1473;2
1474;7
1475;6
1476;7
1477;1
1478;0
1479;3
1480;4
1481;3
1482;1
1483;1
1484;1
1485;4
1486;2
1487;2
1488;2
1489;3
1490;1
1491;5
1492;3
1493;2
1494;2
1495;5
1496;4
1497;5
1498;3
1499;2
1500;3
1501;1
1502;1
1503;2
1504;6
1505;4
1506;3
1507;3
1508;2
1509;1
1510;6
1511;1
1512;1
1513;3
1514;6
1515;4
1516;0
1517;7
1518;3
1519;3
1520;7
1521;6
1522;6
1523;6
1524;3
1525;4
1526;3
1527;2
1528;2
1529;4
1530;5
1531;3
1532;1
1533;1
1534;3
1535;1
1536;3
1537;4
1538;3
1539;5
1540;4
1541;2
1542;0
1543;5
1544;3
1545;3
1546;3
1547;5
1548;3
1549;2
1550;2
1551;4
1552;2
1553;3
1554;2
1555;1
1556;4
1557;3
1558;3
1559;5
1560;1
1561;3
1562;4
1563;1
1564;4
1565;4
1566;2
1567;3
1568;4
1569;4
1570;5
1571;1
1572;5
1573;3
1574;6
1575;2
1576;2
1577;4
1578;3
1579;5
1580;4
1581;2
1582;2
1583;1
1584;2
1585;2
1586;2
1587;8
1588;2
1589;3
1590;5
1591;7
1592;2
1593;1
1594;1
1595;7
1596;4
1597;1
1598;3
1599;3
1600;2
1601;2
1602;3
1603;5
1604;4
1605;4
1606;4
1607;3
1608;4
1609;1
1610;1
1611;3
1612;5
1613;2
1614;3
1615;2
1616;4
1617;3
1618;4
1619;5
1620;3
1621;2
1622;3
1623;6
1624;5
1625;3
1626;4
1627;6
1628;2
1629;2
1630;4
1631;4
1632;4
1633;4
1634;0
1635;4
1636;3
1637;2
1638;3
1639;2
1640;6
1641;2
1642;2
1643;3
1644;4
1645;3
1646;5
1647;1
1648;1
1649;4
1650;5
1651;2
1652;4
1653;1
1654;9
1655;2
1656;2
1657;4
1658;4
1659;5
1660;3
1661;2
1662;5
1663;0
1664;2
1665;5
1666;4
1667;3
1668;1
1669;3
1670;3
1671;6
1672;3
1673;2
1674;4
1675;3
1676;1
1677;7
1678;2
1679;3
1680;4
1681;2
1682;3
1683;1
1684;2
1685;2
1686;2
1687;4
1688;3
1689;0
1690;5
1691;5
1692;2
1693;4
1694;3
1695;2
1696;5
1697;9
1698;6
1699;2
1700;3
1701;0
1702;4
1703;3
1704;4
1705;5
1706;1
1707;3
1708;3
1709;3
1710;3
1711;4
1712;5
1713;4
1714;2
1715;5
1716;5
1717;3
1718;4
1719;3
1720;5
1721;5
1722;3
1723;1
1724;1
1725;4
1726;2
1727;2
1728;2
1729;3
1730;4
1731;4
1732;2
1733;1
1734;2
1735;4
1736;1
1737;1
1738;6
1739;2
1740;6
1741;5
1742;2
1743;3
1744;4
1745;4
1746;6
1747;2
1748;2
1749;2
1750;3
1751;0
1752;3
1753;0
1754;3
1755;1
1756;5
1757;3
1758;3
1759;5
1760;4
1761;2
1762;3
1763;2
1764;2
1765;3
1766;5
1767;8
1768;2
1769;1
1770;2
1771;6
1772;2
1773;4
1774;2
1775;2
1776;3
1777;6
1778;2
1779;3
1780;3
1781;2
1782;5
1783;4
1784;2
1785;2
1786;4
1787;7
1788;1
1789;3
1790;3
1791;2
1792;3
1793;3
1794;6
1795;3
1796;5
1797;3
1798;4
1799;4
1800;2
1801;1
1802;3
1803;4
1804;1
1805;4
1806;3
1807;3
1808;1
1809;7
1810;3
1811;2
1812;1
1813;4
1814;3
1815;3
1816;2
1817;2
1818;3
1819;3
1820;6
1821;5
1822;2
1823;1
1824;1
1825;3
1826;5
1827;4
1828;4
1829;5
1830;4
1831;3
1832;3
1833;2
1834;2
1835;1
1836;6
1837;4
1838;2
1839;3
1840;7
1841;3
1842;4
1843;0
1844;1
1845;0
1846;2
1847;6
1848;5
1849;3
1850;3
1851;1
1852;1
1853;6
1854;4
1855;5
1856;2
1857;4
1858;2
1859;0
1860;3
1861;3
1862;2
1863;3
1864;5
1865;3
1866;6
1867;3
1868;9
1869;4
1870;3
1871;2
1872;2
1873;3
1874;4
1875;4
1876;2
1877;2
1878;2
1879;3
1880;0
1881;3
1882;5
1883;5
1884;4
1885;2
1886;1
1887;5
1888;3
1889;2
1890;3
1891;0
1892;1
1893;6
1894;7
1895;2
1896;3
1897;3
1898;4
1899;4
1900;2
1901;5
1902;1
1903;4
1904;2
1905;3
1906;4
1907;1
1908;2
1909;3
1910;7
1911;4
1912;2
1913;7
1914;6
1915;5
1916;4
1917;4
1918;0
1919;5
1920;1
1921;5
1922;3
1923;2
1924;3
1925;4
1926;6
1927;2
1928;1
1929;7
1930;2
1931;2
1932;2
1933;4
1934;4
1935;4
1936;2
1937;5
1938;5
1939;0
1940;4
1941;9
1942;2
1943;3
1944;1
1945;3
1946;4
1947;1
1948;6
1949;6
1950;1
1951;1
1952;2
1953;7
1954;3
1955;4
1956;5
1957;3
1958;4
1959;5
1960;3
1961;0
1962;4
1963;3
1964;3
1965;5
1966;4
1967;3
1968;4
1969;5
1970;4
1971;4
1972;5
1973;3
1974;4
1975;3
1976;12
1977;3
1978;4
1979;2
1980;5
1981;3
1982;7
1983;4
1984;2
1985;4
1986;4
1987;2
1988;8
1989;4
1990;5
1991;3
1992;4
1993;4
1994;4
1995;4
1996;4
1997;5
1998;4
1999;0
2000;2
2001;4
2002;4
2003;7
2004;3
2005;1
2006;2
2007;6
2008;3
2009;4
2010;1
2011;4
2012;1
2013;4
2014;1
2015;2
2016;5
2017;6
2018;2
2019;5
2020;4
2021;6
2022;3
2023;4
2024;4
2025;3
2026;5
2027;4
2028;5
2029;3
2030;2
2031;6
2032;5
2033;3
2034;3
2035;2
2036;3
2037;2
2038;5
2039;2
2040;4
2041;2
2042;6
2043;2
2044;6
2045;6
2046;3
2047;2
2048;1
2049;6
2050;1
2051;3
2052;4
2053;6
2054;3
2055;2
2056;6
2057;2
2058;7
2059;5
2060;3
2061;2
2062;1
2063;7
2064;3
2065;4
2066;2
2067;6
2068;3
2069;5
2070;6
2071;2
2072;0
2073;2
2074;5
2075;7
2076;2
2077;2
2078;5
2079;0
2080;1
2081;3
2082;2
2083;3
2084;3
2085;4
2086;3
2087;8
2088;2
2089;4
2090;2
2091;6
2092;4
2093;5
2094;5
2095;1
2096;3
2097;2
2098;5
2099;1
2100;3
2101;3
2102;1
2103;3
2104;1
2105;2
2106;2
2107;6
2108;5
2109;3
2110;2
2111;3
2112;7
2113;3
2114;2
2115;3
2116;3
2117;3
2118;4
2119;2
2120;4
2121;5
2122;3
2123;4
2124;8
2125;4
2126;2
2127;0
2128;5
2129;3
2130;2
2131;3
2132;5
2133;7
2134;4
2135;1
2136;4
2137;3
2138;4
2139;1
2140;3
2141;2
2142;3
2143;6
2144;3
2145;2
2146;6
2147;3
2148;5
2149;3
2150;5
2151;5
2152;4
2153;1
2154;2
2155;3
2156;1
2157;1
2158;1
2159;6
2160;3
2161;2
2162;6
2163;1
2164;2
2165;1
2166;2
2167;0
2168;3
2169;2
2170;2
2171;5
2172;2
2173;3
2174;2
2175;3
2176;4
2177;3
2178;3
2179;4
2180;1
2181;4
2182;1
2183;6
2184;1
2185;3
2186;2
2187;5
2188;3
2189;8
2190;2
2191;4
2192;2
2193;4
2194;6
2195;1
2196;2
2197;5
2198;2
2199;2
2200;3
2201;3
2202;1
2203;2
2204;4
2205;3
2206;3
2207;1
2208;2
2209;6
2210;5
2211;2
2212;2
2213;3
2214;7
2215;4
2216;2
2217;3
2218;3
2219;4
2220;2
2221;6
2222;4
2223;7
2224;5
2225;2
2226;2
2227;4
2228;4
2229;1
2230;2
2231;4
2232;3
2233;3
2234;3
2235;4
2236;4
2237;2
2238;3
2239;4
2240;1
2241;3
2242;2
2243;7
2244;3
2245;2
2246;2
2247;2
2248;2
2249;3
2250;4
2251;4
2252;3
2253;4
2254;1
2255;1
2256;4
2257;3
2258;1
2259;2
2260;4
2261;3
2262;3
2263;2
2264;3
2265;5
2266;2
2267;3
2268;3
2269;5
2270;2
2271;3
2272;1
2273;2
2274;4
2275;5
2276;6
2277;1
2278;2
2279;2
2280;5
2281;5
2282;5
2283;2
2284;6
2285;8
2286;2
2287;3
2288;1
2289;3
2290;4
2291;4
2292;4
2293;10
2294;1
2295;1
2296;6
2297;2
2298;5
2299;4
2300;4
2301;3
2302;3
2303;5
2304;5
2305;4
2306;5
2307;2
2308;4
2309;1
2310;2
2311;3
2312;3
2313;1
2314;4
2315;5
2316;3
2317;2
2318;3
2319;1
2320;2
2321;5
2322;3
2323;4
2324;2
2325;2
2326;2
2327;2
2328;2
2329;3
2330;4
2331;3
2332;3
2333;1
2334;4
2335;3
2336;3
2337;5
2338;6
2339;2
2340;1
2341;1
2342;3
2343;1
2344;1
2345;1
2346;6
2347;2
2348;2
2349;5
2350;2
2351;4
2352;6
2353;3
2354;4
2355;10
2356;3
2357;2
2358;3
2359;1
2360;2
2361;4
2362;4
2363;2
2364;1
2365;3
2366;3
2367;3
2368;5
2369;4
2370;3
2371;1
2372;6
2373;5
2374;2
2375;3
2376;4
2377;9
2378;3
2379;1
2380;4
2381;4
2382;2
2383;5
2384;2
2385;4
2386;2
2387;3
2388;5
2389;5
2390;1
2391;4
2392;6
2393;3
2394;6
2395;1
2396;5
2397;4
2398;4
2399;1
2400;4
2401;1
2402;2
2403;4
2404;1
2405;5
2406;0
2407;2
2408;3
2409;4
2410;7
2411;3
2412;1
2413;7
2414;3
2415;1
2416;4
2417;2
2418;4
2419;0
2420;1
2421;3
2422;5
2423;3
2424;0
2425;4
2426;3
2427;2
2428;2
2429;3
2430;3
2431;3
2432;4
2433;4
2434;4
2435;6
2436;5
2437;4
2438;3
2439;3
2440;3
2441;3
2442;5
2443;4
2444;3
2445;3
2446;1
2447;4
2448;1
2449;4
2450;3
2451;2
2452;2
2453;3
2454;5
2455;3
2456;1
2457;3
2458;3
2459;2
2460;1
2461;3
2462;2
2463;3
2464;3
2465;3
2466;2
2467;3
2468;4
2469;3
2470;3
2471;4
2472;1
2473;1
2474;1
2475;1
2476;5
2477;4
2478;5
2479;6
2480;1
2481;2
2482;3
2483;2
2484;2
2485;4
2486;5
2487;4
2488;4
2489;1
2490;4
2491;1
2492;4
2493;2
2494;2
2495;3
2496;3
2497;4
2498;4
2499;3
2500;3
2501;6
2502;5
2503;2
2504;3
2505;3
2506;6
2507;2
2508;3
2509;4
2510;4
2511;4
2512;4
2513;2
2514;3
2515;5
2516;3
2517;4
2518;3
2519;3
2520;3
2521;2
2522;6
2523;2
2524;2
2525;2
2526;1
2527;3
2528;6
2529;0
2530;4
2531;1
2532;2
2533;2
2534;3
2535;3
2536;2
2537;3
2538;0
2539;9
2540;4
2541;6
2542;3
2543;2
2544;6
2545;3
2546;4
2547;4
2548;3
2549;2
2550;3
2551;2
2552;5
2553;2
2554;4
2555;5
2556;4
2557;3
2558;3
2559;6
2560;1
2561;4
2562;3
2563;2
2564;3
2565;4
2566;4
2567;2
2568;8
2569;6
2570;5
2571;3
2572;1
2573;4
2574;3
2575;2
2576;1
2577;2
2578;4
2579;3
2580;4
2581;0
2582;3
2583;2
2584;4
2585;4
2586;3
2587;2
2588;2
2589;1
2590;1
2591;2
2592;3
2593;1
2594;3
2595;6
2596;3
2597;3
2598;6
2599;3
2600;3
2601;3
2602;1
2603;0
2604;4
2605;3
2606;4
2607;6
2608;3
2609;3
2610;5
2611;3
2612;8
2613;1
2614;4
2615;1
2616;2
2617;3
2618;5
2619;5
2620;1
2621;5
2622;3
2623;1
2624;2
2625;3
2626;5
2627;1
2628;2
2629;3
2630;2
2631;6
2632;4
2633;2
2634;3
2635;2
2636;1
2637;2
2638;3
2639;2
2640;2
2641;2
2642;6
2643;1
2644;3
2645;4
2646;3
2647;3
2648;2
2649;2
2650;3
2651;2
2652;2
2653;0
2654;2
2655;3
2656;3
2657;2
2658;3
2659;3
2660;4
2661;3
2662;0
2663;4
2664;2
2665;2
2666;2
2667;3
2668;6
2669;1
2670;3
2671;4
2672;2
2673;3
2674;3
2675;5
2676;5
2677;4
2678;5
2679;2
2680;3
2681;5
2682;1
2683;5
2684;3
2685;4
2686;3
2687;4
2688;4
2689;3
2690;3
2691;1
2692;2
2693;3
2694;4
2695;2
2696;4
2697;5
2698;4
2699;2
2700;2
2701;3
2702;2
2703;2
2704;4
2705;4
2706;4
2707;5
2708;4
2709;5
2710;3
2711;1
2712;1
2713;1
2714;3
2715;1
2716;1
2717;3
2718;3
2719;2
2720;4
2721;4
2722;1
2723;4
2724;5
2725;1
2726;1
2727;4
2728;3
2729;5
2730;3
2731;6
2732;2
2733;2
2734;3
2735;8
2736;3
2737;2
2738;2
2739;3
2740;1
2741;2
2742;6
2743;5
2744;6
2745;6
2746;2
2747;2
2748;2
2749;7
2750;8
2751;6
2752;5
2753;5
2754;2
2755;2
2756;4
2757;4
2758;3
2759;3
2760;6
2761;6
2762;3
2763;5
2764;2
2765;3
2766;2
2767;3
2768;2
2769;2
2770;2
2771;4
2772;3
2773;2
2774;4
2775;6
2776;4
2777;5
2778;4
2779;3
2780;3
2781;5
2782;4
2783;3
2784;2
2785;2
2786;3
2787;2
2788;2
2789;4
2790;5
2791;3
2792;4
2793;1
2794;4
2795;4
2796;6
2797;4
2798;3
2799;6
2800;2
2801;9
2802;2
2803;2
2804;2
2805;2
2806;3
2807;4
2808;5
2809;4
2810;8
2811;6
2812;6
2813;1
2814;5
2815;3
2816;3
2817;4
2818;4
2819;2
2820;2
2821;4
2822;3
2823;7
2824;4
2825;3
2826;4
2827;4
2828;2
2829;2
2830;3
2831;5
2832;5
2833;2
2834;4
2835;7
2836;1
2837;4
2838;2
2839;1
2840;3
2841;2
2842;3
2843;1
2844;6
2845;2
2846;4
2847;3
2848;2
2849;1
2850;4
2851;2
2852;2
2853;5
2854;7
2855;4
2856;4
2857;2
2858;4
2859;2
2860;5
2861;4
2862;1
2863;3
2864;5
2865;3
2866;3
2867;6
2868;2
2869;0
2870;5
2871;6
2872;3
2873;3
2874;4
2875;4
2876;4
2877;4
2878;1
2879;2
2880;1
2881;5
2882;4
2883;3
2884;3
2885;4
2886;3
2887;3
2888;2
2889;3
2890;3
2891;3
2892;2
2893;2
2894;4
2895;4
2896;2
2897;4
2898;2
2899;4
2900;3
2901;2
2902;4
2903;2
2904;2
2905;3
2906;4
2907;3
2908;2
2909;4
2910;5
2911;2
2912;5
2913;4
2914;6
2915;3
2916;4
2917;4
2918;3
2919;4
2920;6
2921;5
2922;3
2923;6
2924;4
2925;3
2926;2
2927;5
2928;2
2929;1
2930;3
2931;4
2932;3
2933;4
2934;4
2935;6
2936;2
2937;3
2938;3
2939;3
2940;0
2941;3
2942;5
2943;6
2944;3
2945;5
2946;6
2947;4
2948;0
2949;4
2950;5
2951;4
2952;3
2953;3
2954;2
2955;7
2956;5
2957;6
2958;5
2959;2
2960;2
2961;3
2962;2
2963;5
2964;3
2965;2
2966;4
2967;5
2968;4
2969;2
2970;5
2971;6
2972;6
2973;3
2974;0
2975;2
2976;3
2977;6
2978;5
2979;3
2980;4
2981;1
2982;4
2983;2
2984;2
2985;5
2986;3
2987;3
2988;2
2989;5
2990;2
2991;5
2992;1
2993;6
2994;5
2995;5
2996;3
2997;2
